Contact.Key,Resp,R2016,R2015,R2014,Age,Finish.Time,Swim.Time,Bike.Time,Run.Time,Min_Year,prior_races,club_aff,Finish.Rank,Swim.Rank,Bike.Rank,Run.Rank
125,0,0,0,1,45,31374,2432,15192,12644,2014,2,0,8,4,8,8
293,0,0,0,0,46,26942,2182,12259,11543,2017,1,0,7,3,6,8
410,0,0,0,0,43,999999,999999,999999,999999,2017,1,0,8,8,8,8
622,0,0,1,1,58,24186,1999,11635,9773,2014,3,1,5,2,5,6
727,0,0,0,0,20,22471,2064,10722,9204,2017,2,0,4,2,3,6
808,0,0,3,0,39,18977,1777,9097,7738,2015,4,0,1,2,1,3
970,0,1,0,0,44,22897,2171,10950,8591,2016,3,0,4,3,4,5
1038,0,1,1,1,34,21108,2880,10232,9267,2014,4,0,3,7,2,6
1142,0,1,1,1,46,19893,2075,9756,6750,2014,4,0,2,3,2,1
1546,1,3,2,2,51,23118,2079,10736,8291,2014,7,0,4,3,3,4
1611,0,0,0,0,54,999999,2574,11132,999999,2017,1,0,8,5,4,8
1714,0,0,1,0,43,28042,2990,13455,10687,2015,2,0,7,7,7,7
1732,0,0,2,1,52,22300,2734,10703,8113,2014,4,1,4,6,3,4
1733,0,0,1,1,38,25127,2700,14240,7025,2014,3,0,6,6,8,2
1751,1,1,1,1,52,21759,2206,10399,8166,2014,3,0,3,3,3,4
1918,1,1,1,0,31,21842,2740,11055,7593,2015,5,1,3,6,4,3
2180,1,0,3,2,54,18012,1883,8937,6351,2014,6,0,1,2,1,1
2321,0,1,0,1,32,21689,1950,10067,7807,2014,3,0,3,2,2,3
2354,0,1,3,2,42,21319,2082,10217,8027,2014,7,0,3,3,2,4
2716,0,0,1,0,25,24263,2558,11072,9900,2015,2,1,5,5,4,6
3057,0,0,0,1,36,24926,2471,12725,8715,2014,2,1,6,5,7,5
3120,1,3,1,0,38,21447,2736,9813,7647,2015,6,0,3,6,2,3
3130,1,1,1,1,57,20975,1765,10919,7849,2014,3,1,3,1,4,3
3208,0,0,1,0,38,20695,2682,9908,7626,2015,2,0,2,6,2,3
3310,0,1,1,1,41,22439,1478,10348,8818,2014,5,0,4,1,2,5
3321,0,0,0,0,57,24117,3038,11358,9229,2017,1,0,5,7,5,6
3348,0,0,2,0,41,28497,3219,12419,10435,2015,4,0,8,7,6,7
3365,0,0,1,0,35,29380,1576,13105,11933,2015,2,0,8,1,7,8
3398,1,2,1,0,51,20847,2126,9810,7996,2015,3,1,3,3,2,3
3525,0,1,1,1,55,21284,1974,10806,7193,2014,4,0,3,2,3,2
3624,0,1,2,1,46,21450,2141,10526,7843,2014,5,0,3,3,3,3
3770,0,2,3,3,40,20477,2388,9402,4253,2014,9,0,2,4,1,1
3842,0,0,0,1,51,20298,2801,9781,7213,2014,2,1,2,6,2,2
3844,0,1,0,0,44,21129,2299,10476,7538,2016,3,0,3,4,3,3
3941,0,0,0,1,31,17698,2355,9614,5386,2014,3,0,1,4,1,1
3981,0,0,1,1,46,24917,2558,13034,8369,2014,3,1,6,5,7,4
4041,0,0,1,0,51,19303,1950,9179,6804,2015,2,0,2,2,1,2
4086,0,0,0,0,60,27740,3253,12689,10431,2017,1,1,7,7,7,7
4099,0,0,2,0,53,18438,2195,9352,6544,2015,3,1,1,3,1,1
4123,0,0,1,0,40,19999,2229,9756,7231,2015,2,0,2,3,2,2
4373,0,0,0,0,47,999999,999999,999999,999999,2017,1,0,8,8,8,8
4409,0,2,1,0,75,26985,3675,12193,10554,2015,5,0,7,8,6,7
4496,0,0,0,1,54,999999,999999,999999,999999,2014,3,0,8,8,8,8
4886,0,3,3,1,59,19531,1177,9590,8100,2014,10,0,2,1,1,4
5049,1,1,1,1,44,24051,1851,11813,9321,2014,4,1,5,2,5,6
5202,0,1,0,0,53,29253,3647,14434,10410,2016,2,0,8,8,8,7
5352,0,2,0,1,50,17440,2022,8974,5699,2014,4,0,1,2,1,1
5656,0,0,0,1,30,18063,2270,9685,5739,2014,2,0,1,3,1,1
5659,0,1,1,0,56,23650,3154,10536,9161,2015,3,0,5,7,3,5
5671,1,0,0,0,53,25104,2340,10793,10871,2017,1,0,6,4,3,7
5685,0,1,1,1,43,21413,2132,9470,9334,2014,4,0,3,3,1,6
5717,0,1,0,0,51,29911,3195,14847,11004,2016,2,0,8,7,8,7
5833,0,0,0,0,51,999999,999999,999999,999999,2017,1,0,8,8,8,8
5870,0,1,0,0,47,31693,2130,14304,11683,2016,3,0,8,3,8,8
6007,0,0,0,0,33,999999,999999,999999,999999,2017,1,0,8,8,8,8
6017,0,1,1,1,43,25645,2367,11550,10319,2014,4,1,6,4,5,7
6095,0,1,1,0,43,22185,2998,10510,7942,2015,3,0,4,7,3,3
6143,0,0,0,1,52,34243,3563,15810,13783,2014,2,1,8,8,8,8
6150,0,0,0,0,31,18040,2225,9294,5628,2017,2,0,1,3,1,1
6249,0,0,0,0,38,29061,3828,13828,10501,2017,1,0,8,8,8,7
6457,0,0,0,0,37,28202,3127,14281,9201,2017,1,0,8,7,8,6
6617,0,1,0,0,48,21496,2437,10366,8068,2016,2,0,3,4,3,4
6641,0,0,0,0,51,999999,999999,999999,999999,2017,1,0,8,8,8,8
6673,0,2,1,0,45,23184,2546,10119,8105,2015,5,0,5,5,2,4
6683,0,0,2,0,33,17184,1985,8841,5543,2015,4,0,1,2,1,1
6868,0,1,0,0,40,28522,2089,15201,10331,2016,2,0,8,3,8,7
7195,1,0,0,1,28,26639,2411,13580,10141,2014,1,0,7,4,8,7
7214,0,1,0,1,55,29675,3198,14415,11331,2014,3,1,8,7,8,8
7301,0,0,1,0,44,24065,1895,11060,10125,2015,2,1,5,2,4,7
7372,1,0,0,0,43,28798,2240,14485,10333,2017,1,0,8,3,8,7
7392,0,1,1,1,39,22696,3590,11509,6122,2014,4,0,4,8,5,1
7644,0,1,1,1,37,20089,2637,9953,6899,2014,4,0,2,5,2,2
7855,0,1,2,2,38,25215,3365,11840,9009,2014,6,0,6,8,5,5
7857,0,0,0,0,30,18639,999999,10969,7534,2017,1,0,1,8,4,3
7932,0,2,1,1,40,24596,2919,12131,8820,2014,6,1,6,7,6,5
8135,0,0,0,0,32,19132,811,9945,7737,2017,1,0,1,1,2,3
8308,0,0,1,1,32,18089,2093,9408,6189,2014,3,0,1,3,1,1
8318,0,0,1,0,37,23467,2389,10513,9403,2015,2,1,5,4,3,6
8644,0,0,0,0,46,999999,999999,999999,999999,2017,1,0,8,8,8,8
8647,0,0,0,0,40,18336,999999,10662,7388,2017,1,0,1,8,3,2
8662,0,1,1,1,63,26051,2094,12856,10330,2014,4,1,7,3,7,7
8729,0,0,0,1,38,24135,2641,11545,9275,2014,2,0,5,5,5,6
9079,0,1,1,0,49,19676,1960,9111,7424,2015,3,1,2,2,1,2
9094,1,1,2,0,42,27505,2836,11793,11194,2015,3,1,7,6,5,8
9108,0,1,0,0,59,18924,2367,8709,7502,2016,2,0,1,4,1,3
9175,0,0,0,0,57,25353,3330,11682,9383,2017,1,0,6,8,5,6
9196,0,1,0,0,36,14655,2096,8345,5594,2016,5,0,1,3,1,1
9336,1,1,1,1,46,26103,2282,12433,10134,2014,3,0,7,4,6,7
9368,0,0,0,0,31,26704,3337,13375,9129,2017,1,0,7,8,7,5
9446,0,0,1,0,31,21632,2238,10607,8361,2015,2,0,3,3,3,4
9515,0,0,0,1,47,21142,2505,11140,6712,2014,2,1,3,5,4,1
9756,0,0,0,0,46,18690,2304,9093,6979,2017,1,0,1,4,1,2
9788,0,1,2,0,36,19193,1609,9614,7050,2015,4,1,2,1,1,2
9872,1,0,0,1,38,20926,2405,10558,7507,2014,2,0,3,4,3,3
9874,0,0,1,1,46,21834,1938,11339,7759,2014,3,0,3,2,4,3
10315,0,1,0,1,34,19098,2054,9143,6532,2014,3,0,1,2,1,1
10350,0,1,0,0,61,23734,1308,10912,10544,2016,2,1,5,1,4,7
10570,0,0,0,1,49,28677,2467,14039,10569,2014,2,0,8,5,8,7
10681,0,0,0,1,60,25734,3097,11515,10421,2014,2,0,6,7,5,7
10756,0,1,0,0,38,21854,2125,11474,7433,2016,2,1,3,3,5,2
10895,0,0,1,1,44,24693,2524,12668,8811,2014,4,0,6,5,7,5
11013,0,1,2,0,63,999999,999999,999999,999999,2015,6,1,8,8,8,8
11188,0,0,1,0,49,28683,2169,12142,9647,2015,2,0,8,3,6,6
11283,0,0,1,1,45,23044,2559,12179,7499,2014,3,0,4,5,6,3
11316,0,0,0,0,46,25001,2396,12699,9118,2017,1,0,6,4,7,5
11599,0,1,1,1,34,21420,2525,9572,8675,2014,4,1,3,5,1,5
11620,0,0,0,0,52,999999,999999,999999,999999,2017,1,0,8,8,8,8
11740,0,1,1,0,55,23424,2507,11600,8562,2015,3,1,5,5,5,4
11910,1,0,2,1,50,23537,2762,11314,8633,2014,3,0,5,6,4,5
11989,0,0,1,0,48,24721,2378,11048,10329,2015,2,0,6,4,4,7
12083,0,0,0,0,65,999999,999999,999999,999999,2017,1,0,8,8,8,8
12215,0,0,0,0,35,21635,2451,10366,8261,2017,1,1,3,4,3,4
12450,0,0,1,0,47,999999,999999,999999,999999,2015,2,1,8,8,8,8
12456,0,0,0,1,47,25588,1904,11706,10317,2014,2,0,6,2,5,7
12537,1,0,1,1,37,26182,2864,10687,10783,2014,2,1,7,6,3,7
12551,0,0,0,1,51,23257,2321,11715,8614,2014,2,0,5,4,5,5
12968,0,1,2,1,61,20920,1869,10300,8206,2014,5,1,3,2,2,4
13147,0,0,0,0,45,24010,2057,11531,9797,2017,1,0,5,2,5,6
13249,0,4,1,4,39,17087,1655,8359,5388,2014,12,1,1,1,1,1
13265,0,1,1,1,40,27559,3348,11260,10792,2014,5,1,7,8,4,7
13388,0,0,1,1,52,20883,2509,10710,6787,2014,3,0,3,5,3,2
13393,0,1,1,0,49,18398,1311,9097,6280,2015,3,0,1,1,1,1
13470,0,1,0,1,48,20991,1450,11013,7062,2014,3,0,3,1,4,2
13547,0,1,0,0,36,21734,2157,10316,8284,2016,2,0,3,3,2,4
13634,0,3,1,0,26,11184,1553,5111,5684,2015,6,0,1,1,1,1
13764,1,3,1,1,38,20763,2201,10264,7446,2014,5,0,3,3,2,3
13899,0,2,1,1,39,15278,1784,8804,6091,2014,7,1,1,2,1,1
14334,0,0,0,0,50,18568,999999,10743,7564,2017,1,0,1,8,3,3
14422,0,1,0,1,34,23699,1709,12785,8627,2014,3,0,5,1,7,5
14507,0,0,0,0,28,19648,1621,8768,9004,2017,1,0,2,1,1,5
14644,0,0,1,0,63,28347,1962,12346,12939,2015,2,1,8,2,6,8
14651,0,1,2,2,44,21626,2038,10235,8353,2014,6,1,3,2,2,4
14714,0,1,0,0,47,23779,2454,11839,9074,2016,2,0,5,4,5,5
14720,0,1,0,1,50,24581,3191,13049,7609,2014,3,1,6,7,7,3
14914,0,0,0,1,44,999999,999999,999999,999999,2014,2,0,8,8,8,8
14924,0,0,0,0,33,23225,2060,10674,10153,2017,1,0,5,2,3,7
14938,0,1,1,1,49,25942,5038,10675,9089,2014,4,1,7,8,3,5
14992,0,2,0,1,36,18082,1593,9802,6153,2014,4,1,1,1,2,1
15020,0,0,0,1,31,28254,3877,13517,10466,2014,2,0,8,8,7,7
15058,1,1,2,0,52,19928,2045,10091,6719,2015,4,0,2,2,2,1
15175,0,1,1,0,37,18727,1544,9934,6402,2015,4,0,1,1,2,1
15277,0,3,2,0,49,10923,1986,4828,5954,2015,9,1,1,2,1,1
15283,0,0,0,0,37,999999,999999,999999,999999,2017,1,0,8,8,8,8
15307,0,0,0,1,42,22582,2950,10419,8554,2014,2,0,4,7,3,4
15435,0,0,0,0,34,21582,976,10230,9043,2017,2,1,3,1,2,5
15617,0,1,0,1,36,27106,2211,12309,9237,2014,3,0,7,3,6,6
15928,0,0,0,0,63,999999,2070,999999,999999,2017,1,0,8,2,8,8
16065,0,0,0,0,45,999999,2757,12136,999999,2017,1,1,8,6,6,8
16144,0,1,1,1,50,19587,1910,10073,7118,2014,4,0,2,2,2,2
